Rapport jour piscine notifications (Log started: 2021-03-26T13:55:12.790249+00:00)
Heure, energie consommée, temps de fonctionnement pompe (depuis 25/08/2022)
--------------------------------------------------------------------------------
2022-06-10T21:59:00.091324+00:00 ,6.0
2022-06-11T21:59:00.097787+00:00 ,9.0
2022-06-12T21:59:00.087222+00:00 ,9.0
2022-06-13T21:59:00.097239+00:00 ,11.0
2022-06-14T21:59:00.095506+00:00 ,13.0
2022-06-15T21:59:00.059868+00:00 ,14.0
2022-06-16T21:59:00.076665+00:00 ,13.0
2022-06-17T21:59:00.120797+00:00 ,12.0
2022-06-18T21:59:00.110382+00:00 ,12.0
2022-06-19T21:59:00.092109+00:00 ,11.0
2022-06-20T21:59:00.096198+00:00 ,9.0
2022-06-21T21:59:00.145743+00:00 ,9.0
2022-06-22T21:59:00.074408+00:00 ,9.0
2022-06-23T21:59:00.102158+00:00 ,9.0
2022-06-24T21:59:00.075638+00:00 ,8.0
2022-06-25T21:59:00.097102+00:00 ,8.0
2022-06-26T21:59:00.058352+00:00 ,7.0
2022-06-27T21:59:00.084727+00:00 ,6.0
